,Week,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
7,2/21/10,8,"$455,335","$455,335","$933,200",48.79%,$62.03,$200.00,7340,8568,8,85.7%,0.0%,A Behanding In Spokane
8,2/28/10,9,"$413,686","$-41,649","$933,200",44.33%,$60.16,$200.00,6876,8568,8,80.3%,80.3%,A Behanding In Spokane
9,3/07/10,10,"$432,187","$18,501","$933,200",46.31%,$55.95,$200.00,7725,8568,8,90.2%,9.9%,A Behanding In Spokane
10,3/14/10,11,"$554,397","$122,210","$940,690",58.94%,$74.69,$200.00,7423,8568,8,86.6%,-3.6%,A Behanding In Spokane
11,3/21/10,12,"$539,372","$-15,025","$940,690",57.34%,$77.34,$200.00,6974,8568,8,81.4%,-5.2%,A Behanding In Spokane
12,3/28/10,13,"$489,726","$-49,646","$940,690",52.06%,$78.78,$200.00,6216,8568,8,72.5%,-8.9%,A Behanding In Spokane
13,4/04/10,14,"$524,859","$35,133","$940,690",55.80%,$76.87,$200.00,6828,8568,8,79.7%,7.2%,A Behanding In Spokane
14,4/11/10,15,"$489,587","$-35,272","$940,690",52.05%,$75.74,$200.00,6464,8568,8,75.4%,-4.3%,A Behanding In Spokane
15,4/18/10,16,"$402,160","$-87,427","$940,690",42.75%,$75.52,$200.00,5325,8568,8,62.1%,-13.3%,A Behanding In Spokane
16,4/25/10,17,"$415,523","$13,363","$940,690",44.17%,$74.86,$200.00,5551,8568,8,64.8%,2.7%,A Behanding In Spokane
17,5/02/10,18,"$384,849","$-30,674","$940,690",40.91%,$69.40,$200.00,5545,8568,8,64.7%,-0.1%,A Behanding In Spokane
18,5/09/10,19,"$414,898","$30,049","$940,690",44.11%,$73.17,$200.00,5670,8568,8,66.2%,1.5%,A Behanding In Spokane
19,5/16/10,20,"$432,442","$17,544","$940,690",45.97%,$74.30,$200.00,5820,8568,8,67.9%,1.7%,A Behanding In Spokane
20,5/23/10,21,"$442,947","$10,505","$940,690",47.09%,$71.03,$200.00,6236,8568,8,72.8%,4.9%,A Behanding In Spokane
21,5/30/10,22,"$428,934","$-14,013","$940,690",45.60%,$72.26,$200.00,5936,8568,8,69.3%,-3.5%,A Behanding In Spokane
22,6/06/10,23,"$483,113","$54,179","$940,690",51.36%,$77.40,$200.00,6242,8568,8,72.9%,3.6%,A Behanding In Spokane
7,1/06/08,1,"$259,101","$-61,485","$599,676",43.21%,$73.90,$251.50,3506,7592,8,46.2%,-11.2%,A Bronx Tale
8,1/13/08,2,"$294,854","$35,753","$524,507",56.22%,$76.99,$251.50,3830,6643,7,57.7%,11.5%,A Bronx Tale
9,1/20/08,3,"$268,671","$-26,183","$524,507",51.22%,$71.00,$251.50,3784,6643,7,57.0%,-0.7%,A Bronx Tale
10,1/27/08,4,"$271,505","$2,834","$524,507",51.76%,$69.98,$251.50,3880,6643,7,58.4%,1.4%,A Bronx Tale
11,2/03/08,5,"$233,266","$-38,239","$524,507",44.47%,$67.57,$251.50,3452,6643,7,52.0%,-6.4%,A Bronx Tale
12,2/10/08,6,"$257,830","$24,564","$524,507",49.16%,$68.41,$251.50,3769,6643,7,56.7%,4.7%,A Bronx Tale
13,2/17/08,7,"$317,358","$59,528","$599,676",52.92%,$66.37,$251.50,4782,7592,8,63.0%,6.3%,A Bronx Tale
14,2/24/08,8,"$319,717","$2,359","$599,676",53.32%,$67.28,$251.50,4752,6643,7,71.5%,8.5%,A Bronx Tale
7,1/07/18,1,"$770,784","$-474,010","$921,066",83.68%,$99.44,$225.00,7751,8352,8,92.8%,-3.4%,A Bronx Tale The Musical
8,1/14/18,2,"$830,344","$59,560","$932,228",89.07%,$104.34,$250.00,7958,8352,8,95.3%,2.5%,A Bronx Tale The Musical
9,1/21/18,3,"$726,004","$-104,340","$921,066",78.82%,$96.54,$250.00,7520,8352,8,90.0%,-5.3%,A Bronx Tale The Musical
10,1/28/18,4,"$748,029","$22,025","$921,066",81.21%,$95.78,$250.00,7810,8352,8,93.5%,3.5%,A Bronx Tale The Musical
11,2/04/18,5,"$683,941","$-64,088","$921,066",74.26%,$92.95,$225.00,7358,8352,8,88.1%,-5.4%,A Bronx Tale The Musical
12,2/11/18,6,"$607,940","$-76,001","$921,066",66.00%,$93.29,$225.00,6517,8352,8,78.0%,-10.1%,A Bronx Tale The Musical
13,2/18/18,7,"$780,480","$172,540","$932,228",83.72%,$100.42,$225.00,7772,8352,8,93.1%,15.1%,A Bronx Tale The Musical
14,2/25/18,8,"$709,918","$-70,562","$921,066",77.08%,$89.55,$225.00,7928,8352,8,94.9%,1.8%,A Bronx Tale The Musical
15,3/04/18,9,"$570,439","$-139,479","$921,066",61.93%,$89.13,$225.00,6400,8352,8,76.6%,-18.3%,A Bronx Tale The Musical
16,3/11/18,10,"$592,040","$21,601","$921,066",64.28%,$90.39,$225.00,6550,8352,8,78.4%,1.8%,A Bronx Tale The Musical
17,3/18/18,11,"$653,823","$61,783","$921,066",70.99%,$83.94,$225.00,7789,8352,8,93.3%,14.9%,A Bronx Tale The Musical
18,3/25/18,12,"$599,740","$-54,083","$921,066",65.11%,$92.72,$250.00,6468,8352,8,77.4%,-15.9%,A Bronx Tale The Musical
19,4/01/18,13,"$710,184","$110,444","$921,066",77.10%,$88.77,$225.00,8000,8352,8,95.8%,18.4%,A Bronx Tale The Musical
20,4/08/18,14,"$757,141","$46,957","$921,066",82.20%,$93.36,$225.00,8110,8352,8,97.1%,1.3%,A Bronx Tale The Musical
21,4/15/18,15,"$597,414","$-159,727","$921,066",64.86%,$89.18,$225.00,6699,8352,8,80.2%,-16.9%,A Bronx Tale The Musical
22,4/22/18,16,"$582,857","$-14,557","$921,066",63.28%,$89.71,$225.00,6497,8352,8,77.8%,-2.4%,A Bronx Tale The Musical
23,4/29/18,17,"$596,234","$13,377","$921,066",64.73%,$88.41,$225.00,6744,8352,8,80.7%,2.9%,A Bronx Tale The Musical
24,5/06/18,18,"$469,533","$-126,701","$921,066",50.98%,$88.69,$225.00,5294,8352,8,63.4%,-17.3%,A Bronx Tale The Musical
25,5/13/18,19,"$593,411","$123,878","$921,066",64.43%,$88.90,$225.00,6675,8352,8,79.9%,16.5%,A Bronx Tale The Musical
26,5/20/18,20,"$618,139","$24,728","$921,066",67.11%,$83.80,$225.00,7376,8352,8,88.3%,8.4%,A Bronx Tale The Musical
27,5/27/18,21,"$628,532","$10,393","$932,228",67.42%,$89.47,$225.00,7025,8352,8,84.1%,-4.2%,A Bronx Tale The Musical
28,6/03/18,22,"$542,167","$-86,365","$921,066",58.86%,$83.27,$225.00,6511,8352,8,78.0%,-6.1%,A Bronx Tale The Musical
29,6/10/18,23,"$585,891","$43,724","$921,066",63.61%,$88.17,$225.00,6645,8352,8,79.6%,1.6%,A Bronx Tale The Musical
30,6/17/18,24,"$599,470","$13,579","$921,066",65.08%,$84.50,$225.00,7094,8352,8,84.9%,5.3%,A Bronx Tale The Musical
31,6/24/18,25,"$558,776","$-40,694","$921,066",60.67%,$83.04,$225.00,6729,8352,8,80.6%,-4.3%,A Bronx Tale The Musical
32,7/01/18,26,"$543,182","$-15,594","$921,066",58.97%,$83.72,$225.00,6488,8352,8,77.7%,-2.9%,A Bronx Tale The Musical
33,7/08/18,27,"$524,500","$-18,682","$932,228",56.26%,$80.61,$225.00,6507,8352,8,77.9%,0.2%,A Bronx Tale The Musical
34,7/15/18,28,"$582,998","$58,498","$921,066",63.30%,$84.54,$225.00,6896,8352,8,82.6%,4.7%,A Bronx Tale The Musical
35,7/22/18,29,"$667,360","$84,362","$921,066",72.46%,$86.12,$225.00,7749,8352,8,92.8%,10.2%,A Bronx Tale The Musical
36,7/29/18,30,"$737,653","$70,293","$921,066",80.09%,$91.30,$225.00,8079,8352,8,96.7%,3.9%,A Bronx Tale The Musical
37,8/05/18,31,"$799,426","$61,773","$921,066",86.79%,$96.53,$225.00,8282,8352,8,99.2%,2.5%,A Bronx Tale The Musical
7,3/30/08,13,"$400,926","$400,926","$606,209",66.14%,$69.82,$199.50,5742,6531,7,87.9%,0.0%,A Catered Affair
8,4/06/08,14,"$384,265","$-16,661","$606,209",63.39%,$72.39,$199.50,5308,6531,7,81.3%,81.3%,A Catered Affair
9,4/13/08,15,"$371,887","$-12,378","$606,209",61.35%,$70.25,$199.50,5294,6531,7,81.1%,-0.2%,A Catered Affair
10,4/20/08,16,"$341,232","$-30,655","$689,211",49.51%,$69.02,$199.50,4944,7464,8,66.2%,-14.9%,A Catered Affair
11,4/27/08,17,"$424,552","$83,320","$689,211",61.60%,$73.06,$199.50,5811,7464,8,77.9%,11.7%,A Catered Affair
12,5/04/08,18,"$431,151","$6,599","$689,211",62.56%,$69.78,$199.50,6179,7464,8,82.8%,4.9%,A Catered Affair
13,5/11/08,19,"$423,688","$-7,463","$689,211",61.47%,$71.85,$199.50,5897,7464,8,79.0%,-3.8%,A Catered Affair
14,5/18/08,20,"$439,329","$15,641","$689,211",63.74%,$72.74,$199.50,6040,7464,8,80.9%,1.9%,A Catered Affair
15,5/25/08,21,"$420,055","$-19,274","$689,211",60.95%,$70.11,$199.50,5991,7464,8,80.3%,-0.6%,A Catered Affair
16,6/01/08,22,"$386,287","$-33,768","$689,211",56.05%,$70.55,$199.50,5475,7464,8,73.4%,-6.9%,A Catered Affair
17,6/08/08,23,"$412,446","$26,159","$689,211",59.84%,$71.27,$199.50,5787,7464,8,77.5%,4.1%,A Catered Affair
18,6/15/08,24,"$378,899","$-33,547","$689,211",54.98%,$68.41,$199.50,5539,7464,8,74.2%,-3.3%,A Catered Affair
19,6/22/08,25,"$292,792","$-86,107","$689,211",42.48%,$65.43,$199.50,4475,7464,8,60.0%,-14.2%,A Catered Affair
20,6/29/08,26,"$298,085","$5,293","$689,211",43.25%,$64.80,$199.50,4600,7464,8,61.6%,1.6%,A Catered Affair
21,7/06/08,27,"$244,651","$-53,434","$689,211",35.50%,$55.00,$199.50,4448,7464,8,59.6%,-2.0%,A Catered Affair
22,7/13/08,28,"$244,548",$-103,"$689,211",35.48%,$60.37,$199.50,4051,7464,8,54.3%,-5.3%,A Catered Affair
23,7/20/08,29,"$267,198","$22,650","$689,211",38.77%,$56.95,$199.50,4692,7464,8,62.9%,8.6%,A Catered Affair
24,7/27/08,30,"$291,282","$24,084","$689,211",42.26%,$55.28,$199.50,5269,7464,8,70.6%,7.7%,A Catered Affair
7,4/15/90,15,"$20,776","$20,776",$0,,$0.00,$0.00,1944,0,7,0.0%,0.0%,A Change In The Heir
8,4/22/90,16,"$16,909","$-3,867",$0,,$0.00,$0.00,1750,0,8,0.0%,0.0%,A Change In The Heir
9,4/29/90,17,"$29,921","$13,012",$0,,$0.00,$0.00,1904,0,8,0.0%,0.0%,A Change In The Heir
10,5/06/90,18,"$13,761","$-16,160",$0,,$0.00,$0.00,1846,0,8,0.0%,0.0%,A Change In The Heir
11,5/13/90,19,"$4,390","$-9,371",$0,,$0.00,$0.00,601,0,8,0.0%,0.0%,A Change In The Heir
7,1/06/08,1,"$502,712","$-228,801","$792,383",63.44%,$65.58,$301.25,7666,8552,8,89.6%,-10.5%,A Chorus Line
8,1/13/08,2,"$349,471","$-153,241","$792,383",44.10%,$61.64,$301.25,5670,8552,8,66.3%,-23.3%,A Chorus Line
9,1/20/08,3,"$378,417","$28,946","$792,383",47.76%,$66.35,$301.25,5703,8552,8,66.7%,0.4%,A Chorus Line
10,1/27/08,4,"$302,599","$-75,818","$792,383",38.19%,$59.53,$301.25,5083,8552,8,59.4%,-7.3%,A Chorus Line
11,2/03/08,5,"$261,231","$-41,368","$792,383",32.97%,$59.87,$301.25,4363,8552,8,51.0%,-8.4%,A Chorus Line
12,2/10/08,6,"$331,333","$70,102","$792,383",41.81%,$60.85,$301.25,5445,8552,8,63.7%,12.7%,A Chorus Line
13,2/17/08,7,"$430,326","$98,993","$792,383",54.31%,$65.67,$301.25,6553,8552,8,76.6%,12.9%,A Chorus Line
14,2/24/08,8,"$340,510","$-89,816","$792,383",42.97%,$61.85,$301.25,5505,8552,8,64.4%,-12.2%,A Chorus Line
15,3/02/08,9,"$303,853","$-36,657","$792,383",38.35%,$58.81,$301.25,5167,8552,8,60.4%,-4.0%,A Chorus Line
16,3/09/08,10,"$326,495","$22,642","$792,383",41.20%,$61.36,$301.25,5321,8552,8,62.2%,1.8%,A Chorus Line
17,3/16/08,11,"$374,578","$48,083","$792,383",47.27%,$62.17,$301.25,6025,8552,8,70.5%,8.3%,A Chorus Line
18,3/23/08,12,"$526,573","$151,995","$792,383",66.45%,$66.69,$301.25,7896,8552,8,92.3%,21.8%,A Chorus Line
19,3/30/08,13,"$511,919","$-14,654","$792,383",64.61%,$63.89,$301.25,8012,8552,8,93.7%,1.4%,A Chorus Line
20,4/06/08,14,"$320,644","$-191,275","$792,383",40.47%,$61.32,$301.25,5229,8552,8,61.1%,-32.6%,A Chorus Line
21,4/13/08,15,"$299,744","$-20,900","$792,383",37.83%,$63.13,$301.25,4748,8552,8,55.5%,-5.6%,A Chorus Line
22,4/20/08,16,"$350,974","$51,230","$792,383",44.29%,$69.53,$301.25,5048,8552,8,59.0%,3.5%,A Chorus Line
23,4/27/08,17,"$482,117","$131,143","$792,383",60.84%,$67.58,$301.25,7134,8552,8,83.4%,24.4%,A Chorus Line
24,5/04/08,18,"$367,139","$-114,978","$792,383",46.33%,$69.15,$301.25,5309,8552,8,62.1%,-21.3%,A Chorus Line
25,5/11/08,19,"$377,540","$10,401","$792,383",47.65%,$71.36,$301.25,5291,8552,8,61.9%,-0.2%,A Chorus Line
26,5/18/08,20,"$335,752","$-41,788","$792,383",42.37%,$63.21,$301.25,5312,8552,8,62.1%,0.2%,A Chorus Line
27,5/25/08,21,"$382,037","$46,285","$792,383",48.21%,$64.34,$301.25,5938,8552,8,69.4%,7.3%,A Chorus Line
28,6/01/08,22,"$271,588","$-110,449","$792,383",34.27%,$64.86,$301.25,4187,8552,8,49.0%,-20.4%,A Chorus Line
29,6/08/08,23,"$332,002","$60,414","$792,383",41.90%,$68.51,$301.25,4846,8552,8,56.7%,7.7%,A Chorus Line
30,6/15/08,24,"$383,387","$51,385","$792,383",48.38%,$69.13,$301.25,5546,8552,8,64.9%,8.2%,A Chorus Line
31,6/22/08,25,"$452,386","$68,999","$792,383",57.09%,$70.04,$200.00,6459,8552,8,75.5%,10.6%,A Chorus Line
32,6/29/08,26,"$485,504","$33,118","$792,383",61.27%,$67.11,$200.00,7234,8552,8,84.6%,9.1%,A Chorus Line
33,7/06/08,27,"$475,186","$-10,318","$792,383",59.97%,$60.60,$200.00,7841,8552,8,91.7%,7.1%,A Chorus Line
34,7/13/08,28,"$438,336","$-36,850","$792,383",55.32%,$68.87,$200.00,6365,8552,8,74.4%,-17.3%,A Chorus Line
35,7/20/08,29,"$470,247","$31,911","$792,383",59.35%,$67.23,$200.00,6995,8552,8,81.8%,7.4%,A Chorus Line
36,7/27/08,30,"$505,730","$35,483","$792,383",63.82%,$68.57,$200.00,7375,8552,8,86.2%,4.4%,A Chorus Line
37,8/03/08,31,"$514,810","$9,080","$792,383",64.97%,$68.82,$200.00,7481,8552,8,87.5%,1.3%,A Chorus Line
38,8/10/08,32,"$565,734","$50,924","$792,383",71.40%,$70.24,$200.00,8054,8552,8,94.2%,6.7%,A Chorus Line
39,8/17/08,33,"$547,804","$-17,930","$792,383",69.13%,$76.29,$200.00,7181,8552,8,84.0%,-10.2%,A Chorus Line
7,1/07/90,1,"$146,322","$-175,729",$0,,$0.00,$0.00,5928,0,8,0.0%,0.0%,A Chorus Line Original
8,1/14/90,2,"$131,921","$-14,401",$0,,$0.00,$0.00,5529,0,8,0.0%,0.0%,A Chorus Line Original
9,1/21/90,3,"$108,451","$-23,470",$0,,$0.00,$0.00,4510,0,8,0.0%,0.0%,A Chorus Line Original
10,1/28/90,4,"$108,400",$-51,$0,,$0.00,$0.00,4449,0,8,0.0%,0.0%,A Chorus Line Original
11,2/04/90,5,"$96,116","$-12,284",$0,,$0.00,$0.00,4167,0,8,0.0%,0.0%,A Chorus Line Original
12,2/11/90,6,"$104,711","$8,595",$0,,$0.00,$0.00,3934,0,8,0.0%,0.0%,A Chorus Line Original
13,2/18/90,7,"$163,854","$59,143",$0,,$0.00,$0.00,6221,0,8,0.0%,0.0%,A Chorus Line Original
14,2/25/90,8,"$228,718","$64,864",$0,,$0.00,$0.00,8875,0,8,0.0%,0.0%,A Chorus Line Original
15,3/04/90,9,"$218,872","$-9,846",$0,,$0.00,$0.00,7293,0,8,0.0%,0.0%,A Chorus Line Original
16,3/11/90,10,"$311,504","$92,632",$0,,$0.00,$0.00,9012,0,8,0.0%,0.0%,A Chorus Line Original
17,3/18/90,11,"$346,914","$35,410",$0,,$0.00,$0.00,10083,0,8,0.0%,0.0%,A Chorus Line Original
18,3/25/90,12,"$390,443","$43,529",$0,,$0.00,$0.00,10928,0,8,0.0%,0.0%,A Chorus Line Original
19,4/01/90,13,"$396,049","$5,606",$0,,$0.00,$0.00,11212,0,8,0.0%,0.0%,A Chorus Line Original
20,4/08/90,14,"$276,741","$-119,308",$0,,$0.00,$0.00,8164,0,8,0.0%,0.0%,A Chorus Line Original
21,4/15/90,15,"$399,265","$122,524",$0,,$0.00,$0.00,11006,0,8,0.0%,0.0%,A Chorus Line Original
22,4/22/90,16,"$406,407","$7,142",$0,,$0.00,$0.00,11128,0,8,0.0%,0.0%,A Chorus Line Original
23,4/29/90,17,"$420,407","$14,000",$0,,$0.00,$0.00,11113,0,8,0.0%,0.0%,A Chorus Line Original
7,12/30/01,52,"$819,397","$386,727","$913,747",89.67%,$68.25,$100.00,12005,12800,8,93.8%,93.8%,A Christmas Carol
7,11/11/12,46,"$461,281","$461,281","$1,145,493",40.27%,$63.85,$173.00,7225,10605,7,68.1%,0.0%,A Christmas Story
8,11/18/12,47,"$533,800","$72,519","$1,247,896",42.78%,$52.18,$173.00,10229,11768,8,86.9%,86.9%,A Christmas Story
9,11/25/12,48,"$1,104,312","$570,512","$1,570,580",70.31%,$92.31,$248.00,11963,13635,9,87.7%,0.8%,A Christmas Story
10,12/02/12,49,"$976,184","$-128,128","$1,411,202",69.17%,$95.74,$248.00,10196,12120,8,84.1%,-3.6%,A Christmas Story
11,12/09/12,50,"$1,130,429","$154,245","$1,411,202",80.10%,$98.15,$248.00,11517,12120,8,95.0%,10.9%,A Christmas Story
12,12/16/12,51,"$1,377,131","$246,702","$1,655,905",83.16%,$102.17,$248.00,13479,13635,9,98.9%,3.9%,A Christmas Story
13,12/23/12,52,"$1,491,488","$114,357","$1,655,905",90.07%,$116.67,$248.00,12784,13635,9,93.8%,-5.1%,A Christmas Story
14,12/30/12,0,"$1,558,922","$67,434","$1,653,128",94.30%,$131.67,$248.00,11840,12120,8,97.7%,3.9%,A Christmas Story
7,2/18/01,7,"$172,138","$172,138","$474,553",36.27%,$35.65,$75.00,4828,7637,7,63.2%,0.0%,A Class Act
8,2/25/01,8,"$177,917","$5,779","$547,760",32.48%,$34.11,$75.00,5216,8728,8,59.8%,59.8%,A Class Act
9,3/04/01,9,"$151,099","$-26,818","$547,760",27.58%,$31.71,$76.25,4765,8728,8,54.6%,-5.2%,A Class Act
10,3/11/01,10,"$139,753","$-11,346","$547,760",25.51%,$31.06,$76.25,4500,8728,8,51.6%,-3.0%,A Class Act
11,3/18/01,11,"$189,643","$49,890","$577,929",32.81%,$32.25,$81.25,5881,8776,8,67.0%,15.4%,A Class Act
12,3/25/01,12,"$206,428","$16,785","$577,929",35.72%,$37.57,$81.25,5495,8776,8,62.6%,-4.4%,A Class Act
13,4/01/01,13,"$167,706","$-38,722","$577,929",29.02%,$38.70,$81.25,4333,8776,8,49.4%,-13.2%,A Class Act
14,4/08/01,14,"$88,552","$-79,154","$577,929",15.32%,$42.84,$81.25,2067,8776,8,23.6%,-25.8%,A Class Act
15,4/15/01,15,"$129,048","$40,496","$577,929",22.33%,$41.23,$81.25,3130,8776,8,35.7%,12.1%,A Class Act
16,4/22/01,16,"$158,206","$29,158","$587,587",26.92%,$41.31,$81.25,3830,8776,8,43.6%,7.9%,A Class Act
17,4/29/01,17,"$141,537","$-16,669","$587,587",24.09%,$41.52,$81.25,3409,8776,8,38.8%,-4.8%,A Class Act
18,5/06/01,18,"$118,753","$-22,784","$587,587",20.21%,$34.44,$81.25,3448,8776,8,39.3%,0.5%,A Class Act
19,5/13/01,19,"$126,349","$7,596","$587,587",21.50%,$38.01,$81.25,3324,8776,8,37.9%,-1.4%,A Class Act
20,5/20/01,20,"$149,702","$23,353","$587,587",25.48%,$40.42,$81.25,3704,8776,8,42.2%,4.3%,A Class Act
21,5/27/01,21,"$158,418","$8,716","$587,587",26.96%,$44.08,$81.25,3594,8776,8,41.0%,-1.2%,A Class Act
22,6/03/01,22,"$117,384","$-41,034","$587,587",19.98%,$42.90,$81.25,2736,8776,8,31.2%,-9.8%,A Class Act
23,6/10/01,23,"$165,729","$48,345","$587,587",28.21%,$43.23,$81.25,3834,8776,8,43.7%,12.5%,A Class Act
7,3/16/03,11,"$130,302","$130,302","$232,600",56.02%,$41.91,$65.00,3109,3700,5,84.0%,0.0%,A Day In The Death Of Joe Egg
8,3/23/03,12,"$205,008","$74,706","$372,400",55.05%,$41.36,$65.00,4957,5920,8,83.7%,83.7%,A Day In The Death Of Joe Egg
9,3/30/03,13,"$211,403","$6,395","$372,400",56.77%,$41.07,$65.00,5148,5920,8,87.0%,3.3%,A Day In The Death Of Joe Egg
10,4/06/03,14,"$201,848","$-9,555","$372,400",54.20%,$36.55,$65.00,5522,5920,8,93.3%,6.3%,A Day In The Death Of Joe Egg
11,4/13/03,15,"$241,916","$40,068","$372,400",64.96%,$44.36,$65.00,5454,5920,8,92.1%,-1.2%,A Day In The Death Of Joe Egg
12,4/20/03,16,"$245,815","$3,899","$372,400",66.01%,$48.78,$65.00,5039,5920,8,85.1%,-7.0%,A Day In The Death Of Joe Egg
13,4/27/03,17,"$263,564","$17,749","$372,400",70.77%,$47.59,$65.00,5538,5920,8,93.5%,8.4%,A Day In The Death Of Joe Egg
14,5/04/03,18,"$264,171",$607,"$372,400",70.94%,$48.17,$65.00,5484,5920,8,92.6%,-0.9%,A Day In The Death Of Joe Egg
15,5/11/03,19,"$259,924","$-4,247","$372,400",69.80%,$48.41,$65.00,5369,5920,8,90.7%,-1.9%,A Day In The Death Of Joe Egg
16,5/18/03,20,"$276,314","$16,390","$372,400",74.20%,$47.74,$65.00,5788,5920,8,97.8%,7.1%,A Day In The Death Of Joe Egg
17,5/25/03,21,"$294,749","$18,435","$372,400",79.15%,$49.20,$65.00,5991,5920,8,101.2%,3.4%,A Day In The Death Of Joe Egg
18,6/01/03,22,"$279,463","$-15,286","$372,400",75.04%,$46.96,$65.00,5951,5920,8,100.5%,-0.7%,A Day In The Death Of Joe Egg
7,1/04/15,1,"$648,646","$8,054","$923,128",70.27%,$118.89,$323.00,5456,6416,8,85.0%,6.7%,A Delicate Balance
8,1/11/15,2,"$582,284","$-66,362","$894,328",65.11%,$123.73,$323.00,4706,6416,8,73.3%,-11.7%,A Delicate Balance
9,1/18/15,3,"$641,797","$59,513","$894,328",71.76%,$119.98,$323.00,5349,6416,8,83.4%,10.1%,A Delicate Balance
10,1/25/15,4,"$562,850","$-78,947","$894,328",62.94%,$113.91,$323.00,4941,6416,8,77.0%,-6.4%,A Delicate Balance
11,2/01/15,5,"$462,985","$-99,865","$894,328",51.77%,$107.95,$323.00,4289,6416,8,66.8%,-10.2%,A Delicate Balance
12,2/08/15,6,"$456,872","$-6,113","$894,328",51.09%,$103.20,$323.00,4427,6416,8,69.0%,2.2%,A Delicate Balance
13,2/15/15,7,"$491,763","$34,891","$894,328",54.99%,$102.47,$323.00,4799,6416,8,74.8%,5.8%,A Delicate Balance
14,2/22/15,8,"$432,887","$-58,876","$894,328",48.40%,$100.04,$323.00,4327,6416,8,67.4%,-7.4%,A Delicate Balance
7,3/30/97,13,"$94,514","$94,514",$0,,$29.34,$60.00,3221,6108,6,52.7%,0.0%,A Doll S House
8,4/06/97,14,"$184,425","$89,911",$0,,$35.87,$60.00,5141,7126,7,72.1%,72.1%,A Doll S House
9,4/13/97,15,"$249,651","$65,226",$0,,$39.32,$60.00,6349,7126,7,89.1%,17.0%,A Doll S House
10,4/20/97,16,"$244,467","$-5,184",$0,,$39.42,$60.00,6202,7126,7,87.0%,-2.1%,A Doll S House
11,4/27/97,17,"$291,468","$47,001",$0,,$42.40,$60.00,6875,7126,7,96.5%,9.5%,A Doll S House
12,5/04/97,18,"$279,209","$-12,259",$0,,$43.78,$60.00,6378,7126,7,89.5%,-7.0%,A Doll S House
13,5/11/97,19,"$285,937","$6,728",$0,,$44.18,$60.00,6472,7126,7,90.8%,1.3%,A Doll S House
14,5/18/97,20,"$305,013","$19,076",$0,,$48.38,$60.00,6305,7126,7,88.5%,-2.3%,A Doll S House
15,5/25/97,21,"$295,689","$-9,324",$0,,$48.18,$60.00,6137,7126,7,86.1%,-2.4%,A Doll S House
16,6/01/97,22,"$286,050","$-9,639",$0,,$46.99,$60.00,6088,7126,7,85.4%,-0.7%,A Doll S House
17,6/08/97,23,"$320,338","$34,288","$335,385",95.51%,$48.52,$60.00,6602,7126,7,92.6%,7.2%,A Doll S House
18,6/15/97,24,"$323,256","$2,918","$335,385",96.38%,$47.27,$60.00,6839,7126,7,96.0%,3.4%,A Doll S House
19,6/22/97,25,"$337,174","$13,918","$335,385",100.53%,$47.61,$60.00,7082,7126,7,99.4%,3.4%,A Doll S House
20,6/29/97,26,"$333,029","$-4,145","$335,385",99.30%,$48.30,$60.00,6895,7126,7,96.8%,-2.6%,A Doll S House
21,7/06/97,27,"$307,892","$-25,137","$335,385",91.80%,$46.88,$60.00,6568,7126,7,92.2%,-4.6%,A Doll S House
22,7/13/97,28,"$317,142","$9,250","$335,385",94.56%,$48.10,$60.00,6593,7126,7,92.5%,0.3%,A Doll S House
23,7/20/97,29,"$307,659","$-9,483","$335,385",91.73%,$48.18,$60.00,6385,7126,7,89.6%,-2.9%,A Doll S House
24,7/27/97,30,"$319,840","$12,181","$335,385",95.37%,$48.48,$60.00,6598,7126,7,92.6%,3.0%,A Doll S House
25,8/03/97,31,"$159,506","$-160,334","$191,648",83.23%,$45.61,$60.00,3497,4072,4,85.9%,-6.7%,A Doll S House
26,8/10/97,32,"$269,187","$109,681","$335,385",80.26%,$47.14,$60.00,5710,7126,7,80.1%,-5.8%,A Doll S House
27,8/17/97,33,"$295,590","$26,403","$335,385",88.13%,$44.01,$60.00,6717,7126,7,94.3%,14.2%,A Doll S House
28,8/24/97,34,"$310,990","$15,400","$335,385",92.73%,$44.25,$60.00,7028,7126,7,98.6%,4.3%,A Doll S House
29,8/31/97,35,"$377,950","$66,960","$383,297",98.61%,$45.50,$60.00,8307,8144,8,102.0%,3.4%,A Doll S House
7,4/02/17,14,"$85,982","$85,982","$471,835",18.22%,$30.03,$273.00,2863,3875,5,73.9%,0.0%,A Doll S Housepart 2
8,4/09/17,15,"$106,139","$20,157","$746,816",14.21%,$23.18,$273.00,4578,6200,8,73.8%,73.8%,A Doll S Housepart 2
9,4/16/17,16,"$90,503","$-15,636","$657,089",13.77%,$23.99,$273.00,3772,5425,7,69.5%,-4.3%,A Doll S Housepart 2
10,4/23/17,17,"$111,084","$20,581","$651,289",17.06%,$24.77,$273.00,4484,5425,7,82.7%,13.2%,A Doll S Housepart 2
11,4/30/17,18,"$144,520","$33,436","$741,016",19.50%,$26.02,$273.00,5554,6200,8,89.6%,6.9%,A Doll S Housepart 2
12,5/07/17,19,"$276,160","$131,640","$741,016",37.27%,$53.24,$273.00,5187,6200,8,83.7%,-5.9%,A Doll S Housepart 2
